"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
620.71,0.278634122,-3.326464213,-0.81944479,0.606922482,-0.332424,-0.057398242,-0.477670963,0.369094481,0.021855809
620.81,0.278738678,-3.326463982,-0.81944479,0.606922482,-0.332427527,-0.057410901,-0.477688828,0.369094481,0.021855809
620.91,0.278826678,-3.32646375,-0.81944479,0.606922483,-0.332431055,-0.057423538,-0.477706589,0.369094481,0.021855809
621.01,0.278894577,-3.326463519,-0.819444791,0.606922483,-0.332434582,-0.057436173,-0.477724337,0.369094481,0.021855809
621.11,0.278941087,-3.326463288,-0.819444791,0.606922484,-0.33243811,-0.057448808,-0.477742086,0.369094481,0.021855809
621.21,0.278965542,-3.326463056,-0.819444792,0.606922484,-0.332441637,-0.057460515,-0.477759835,0.369094481,0.021855809
621.31,0.278968963,-3.326462825,-0.819444792,0.606922485,-0.332445164,-0.057468515,-0.477769967,0.369094481,0.021855809
621.41,0.278953007,-3.326462594,-0.819444793,0.606922485,-0.332448692,-0.057476514,-0.477776835,0.369094481,0.021855809
621.51,0.278920494,-3.326462362,-0.819444793,0.606922486,-0.332452219,-0.05748101,-0.477783704,0.369094481,0.021855809
621.61,0.278872748,-3.326462131,-0.819444793,0.606922486,-0.332455746,-0.057485117,-0.477790572,0.369094481,0.021855809
621.71,0.278813523,-3.3264619,-0.819444794,0.606922487,-0.332459274,-0.057487202,-0.47779079,0.369094481,0.021855809
621.81,0.278744302,-3.326461669,-0.819444794,0.606922487,-0.332462801,-0.057487265,-0.477788158,0.369094481,0.021855809
621.91,0.278669501,-3.326461437,-0.819444795,0.606922487,-0.332466328,-0.057487328,-0.477785525,0.369094481,0.021855809
622.01,0.278593445,-3.326461206,-0.819444795,0.606922488,-0.332469856,-0.05748423,-0.477782893,0.369094481,0.021855809
622.11,0.278516967,-3.326460975,-0.819444795,0.606922488,-0.332473383,-0.057480781,-0.477779497,0.369094481,0.021855809
622.21,0.278440488,-3.326460743,-0.819444796,0.606922489,-0.33247691,-0.057477331,-0.477774316,0.369094481,0.021855809
622.31,0.27837055,-3.326460512,-0.819444796,0.606922489,-0.332480438,-0.057471351,-0.477769136,0.369094481,0.021855809
622.41,0.278310347,-3.326460281,-0.819444797,0.60692249,-0.332483965,-0.057465371,-0.477763956,0.369094481,0.021855809
622.51,0.278259827,-3.326460049,-0.819444797,0.60692249,-0.332487492,-0.057459391,-0.477758776,0.369094481,0.021855809
622.61,0.27822021,-3.326459818,-0.819444798,0.606922491,-0.33249102,-0.057453412,-0.477753596,0.369094481,0.021855809
622.71,0.278192205,-3.326459587,-0.819444798,0.606922491,-0.332494547,-0.057447571,-0.477748415,0.369094481,0.021855809
622.81,0.27817357,-3.326459355,-0.819444798,0.606922492,-0.332498074,-0.057442286,-0.477743235,0.369094481,0.021855809
622.91,0.278168001,-3.326459124,-0.819444799,0.606922492,-0.332501601,-0.057437001,-0.477738055,0.369094481,0.021855809
623.01,0.278173767,-3.326458893,-0.819444799,0.606922492,-0.332505129,-0.057431717,-0.477732875,0.369094481,0.021855809
